Band gap,j_twist_angle,j_num_atoms,j_max_strain,j_interlayer_distance,mono_name1,mono_name2,mat_name,l_a,l_b,l_c,l_alpha,l_beta,l_gamma
0.813,16.102,160,0.317,6.41,2CH-1,2GaS-2,2Ga13S13C27H27-1,13.154942017659057,13.155180485004246,25.31812784825069,90.0,90.0,119.9981528515528
0.851,16.102,160,0.499,6.414,2CH-1,2GaS-1,2Ga13S13C27H27-2,13.142023656541635,13.142469477156629,25.331045445322125,90.0,90.0,119.9958018322144
0.251,5.208,108,0.394,5.791,2C-1,2GaS-2,2Ga13S13C28-1,13.062451098671849,13.062455451846525,22.638827664077663,90.0,90.0,119.99965787753153
0.259,4.949,114,0.178,5.926,2C-1,2GaSe-2,2Ga13Se13C31-1,13.736053784239209,13.736070681166057,22.78485219273297,90.0,90.0,119.99983704408697
0.345,13.896,103,0.208,6.985,2ClPt-1,1ClSbSe-1,1Sb13Se13Pt32Cl45-1,14.41899635452301,14.420042880442214,25.485291717988915,90.0,90.0,119.99502538494254
0.857,5.208,67,0.443,7.819,1MoS2-1,2InTe-1,1Mo13In14Te14S26-1,11.433041311016042,11.433152364094248,26.683411359884257,90.0,90.0,119.99876630163803
1.148,5.209,67,0.251,7.832,1WS2-1,2InTe-1,1W13In14Te14S26-1,11.455063376036547,11.455064980411583,26.700006531455095,90.0,90.0,119.99995132922278
0.694,13.898,87,0.576,6.834,1MoTe2-1,1CdCl2-1,1Cd13Mo16Cl26Te32-1,14.011878898959969,14.01358442121263,24.526082308905085,90.0,90.0,119.99115371311369
0.358,13.894,87,0.59,6.835,1WTe2-1,1CdCl2-1,1Cd13W16Cl26Te32-1,14.013616742317511,14.014807180699247,24.544741886259946,90.0,90.0,119.98775289070332
0.901,13.898,87,0.125,6.898,1MoTe2-1,1WS2-1,1Mo13W16Te26S32-1,12.68844521882307,12.68846516102204,24.77605741337658,90.0,90.0,119.99939421544697
0.291,13.898,87,0.022,6.897,1MoS2-1,1WTe2-1,1W13Mo16Te26S32-1,12.666525204267122,12.666531631541977,24.7781218191606,90.0,90.0,119.99998101801012
0.72,13.897,116,0.402,8.869,2InTe-1,2InS-1,2Te13S16In29-1,15.586995159988131,15.58709264819529,28.710246209022735,90.0,90.0,119.99949151644917
0.689,13.898,116,0.256,8.869,2InTe-1,2InS-2,2Te13S16In29-2,15.610047676513826,15.6100757990411,28.712787399557353,90.0,90.0,119.99991444393676
1.313,13.898,75,0.03,7.378,1MoS2-1,2GaSe-1,1Mo13Ga18Se18S26-1,11.41165312764311,11.411652207416363,25.945779544655558,90.0,90.0,119.9999032511508
